post_title;ID;post_content;post_excerpt;post_date;post_name;post_author;post_status;featured_image;post_format;comment_status;ping_status;post_category;post_tag;bidang_prioritas;nama_skema;jenis_skema;nomor_skema
Bidang Administrasi Profesional Level V;;;;08/12/2020 7:44;bidang-administrasi-profesional-level-v;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Bidang Administrasi Profesional Level V;KKNI Level 5 Administrasi Profesional ;24/SKM-KPA/LSP-P1 POLNEP/III/2018
Bidang Administrasi Profesional Level VI;;;;08/12/2020 7:45;bidang-administrasi-profesional-level-vi;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Bidang Administrasi Profesional Level VI;KKNI Level 6 Administrasi Profesional ;42/SKM-KMA/LSP-P1 POLNEP/XII/2019
Bidang Manajemen Agribisnis Level VI;;;;08/12/2020 7:46;bidang-manajemen-agribisnis-level-vi;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Bidang Manajemen Agribisnis Level VI;KKNI Level 6;64/SKM-KMA/LSP-P1 POLNEP/XII/2019
 Teknisi Akuntansi Ahli;;;;08/12/2020 7:47;teknisi-akuntansi-ahli;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Teknisi Akuntansi Ahli;Okupasi;44/SKM-KTAA/LSP-P1 POLNEP/XII/2019
Network Administrator Muda (Junior Network Administrator);;;;08/12/2020 7:48;network-administrator-muda-junior-network-administrator;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Network Administrator Muda (Junior Network Administrator);Okupasi;27/SKM-OJNA/LSP-P1 POLNEP/III/2018
Junior Web Programmer;;;;08/12/2020 7:49;junior-web-programmer;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Junior Web Programmer;Okupasi;26/SKM-OJWP/LSP-P1 POLNEP/III/2018
Asisten Pengendali Organisme Pengganggu Tumbuhan;;;;08/12/2020 7:50;asisten-pengendali-organisme-pengganggu-tumbuhan;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Asisten Pengendali Organisme Pengganggu Tumbuhan;Okupasi;61/SKM-OAPOPT/LSP-P1 POLNEP/XII/2019
"Sertifikasi Okupasi Pengawas Mutu (Quality Control) Pembekuan Udang 
";;;;08/12/2020 7:51;sertifikasi-okupasi-pengawas-mutu-quality-control-pembekuan-udang;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;"Sertifikasi Okupasi Pengawas Mutu (Quality Control) Pembekuan Udang 
";OKUPASI;12/SKM-OPMPU/LSP-P1 POLNEP/III/2018
Teknisi Pembesaran Ikan Bandeng ;;;;08/12/2020 7:52;teknisi-pembesaran-ikan-bandeng;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Teknisi Pembesaran Ikan Bandeng ;OKUPASI;65/SKM-OTPIB/LSP-P1 POLNEP/XI/2020
"Teknisi Pembesaran Ikan Catfish 
";;;;08/12/2020 7:53;teknisi-pembesaran-ikan-catfish;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;"Teknisi Pembesaran Ikan Catfish 
";Okupasi;02/SKM-KBIC/LSP-P1 POLNEP/III/2018
"Asisten Kebun Kelapa Sawit
";;;;08/12/2020 7:54;"asisten-kebun-kelapa-sawit
";ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;"Asisten Kebun Kelapa Sawit
";Okupasi;17/SKM-OKKS/LSP-P1 POLNEP/III/2018
Operasi Laboratorium Level V;;;;08/12/2020 7:55;operasi-laboratorium-level-v;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Operasi Laboratorium Level V;KKNI Level 5;22/SKM-KTL/LSP-P1 POLNEP/III/2020
"Foreman Pengolahan Minyak Kelapa Sawit 
";;;;08/12/2020 7:56;foreman-pengolahan-minyak-kelapa-sawit;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;"Foreman Pengolahan Minyak Kelapa Sawit 
";Okupasi ;18/SKM-OFPMKS/LSP-P1 POLNEP/III/2018
" Ahli Perencana Tata Bangunan Dan Lingkungan 
";;;;08/12/2020 7:57;ahli-perencana-tata-bangunan-dan-lingkungan;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;" Ahli Perencana Tata Bangunan Dan Lingkungan 
";Okupasi;41/SKM-OPTBL/LSP-P1 POLNEP/III/2018
Jabatan Kerja Arsitek ;;;;08/12/2020 7:58;jabatan-kerja-arsitek;ioryone;publish;;;open;open;Ekonomi Kreatif;;Ekonomi Kreatif;Jabatan Kerja Arsitek ;Okupasi;40/SKM-OJKA/LSP-P1POLNEP/III/2018
Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Madya;;;;08/12/2020 7:59;skema-sertifikasi-okupasi-pengobat-tradisional-ramuan-madya;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Madya;Okupasi;42/PTD/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Utama;;;;08/12/2020 8:00;skema-sertifikasi-okupasi-pengobat-tradisional-ramuan-utama;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Utama;Okupasi;44/PTD/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Pratama ;;;;08/12/2020 8:01;skema-sertifikasi-okupasi-pengobat-tradisional-ramuan-pratama;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Okupasi Pengobat Tradisional Ramuan Pratama ;Okupasi;43/PTD/14/5V/LSP.UNAIR/2020
Skema Klaster Pemeriksaan Laboratorium Klinik;;;;08/12/2020 8:02;skema-klaster-pemeriksaan-laboratorium-klinik;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Klaster Pemeriksaan Laboratorium Klinik;Klaster;62/TLM/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Klaster Pembuatan Alat Ortodonti Lepasan;;;;08/12/2020 8:03;skema-sertifikasi-klaster-pembuatan-alat-ortodonti-lepasan;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pembuatan Alat Ortodonti Lepasan;Klaster;
Skema Sertifikasi Klaster Pelaksanaan Ahli Higiene Industri Muda (Himu);;;;08/12/2020 8:04;skema-sertifikasi-klaster-pelaksanaan-ahli-higiene-industri-muda-himu;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pelaksanaan Ahli Higiene Industri Muda (Himu);Klaster;
"Klaster Administrator Keselamatan Dan Kesehatan Kerja
";;;;08/12/2020 8:05;"klaster-administrator-keselamatan-dan-kesehatan-kerja
";ioryone;publish;;;open;open;Care Service;;Care Service;"Klaster Administrator Keselamatan Dan Kesehatan Kerja
";Klaster;
Pengelolaan Keselamatan Dan Kesehatan Kerja (K3) Tempat Kerja;;;;08/12/2020 8:06;pengelolaan-keselamatan-dan-kesehatan-kerja-k3-tempat-kerja;ioryone;publish;;;open;open;Care Service;;Care Service;Pengelolaan Keselamatan Dan Kesehatan Kerja (K3) Tempat Kerja;Klaster;
Skema Sertifikasi Klaster Pelaksanaan Fisioterapi Untuk Perbaikan Jalan Nafas;;;;08/12/2020 8:07;skema-sertifikasi-klaster-pelaksanaan-fisioterapi-untuk-perbaikan-jalan-nafas;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pelaksanaan Fisioterapi Untuk Perbaikan Jalan Nafas;Klaster;
Skema Sertifikasi Klaster Pelaksanaan (Pelayanan) Pemenuhan Kebutuhan Dasar;;;;08/12/2020 8:08;skema-sertifikasi-klaster-pelaksanaan-pelayanan-pemenuhan-kebutuhan-dasar;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pelaksanaan (Pelayanan) Pemenuhan Kebutuhan Dasar;Klaster;
Skema Sertifikasi Klaster Radiografer Mahir Ct-Scan Tingkat 1 ;;;;08/12/2020 8:09;skema-sertifikasi-klaster-radiografer-mahir-ct-scan-tingkat-1;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Radiografer Mahir Ct-Scan Tingkat 1 ;Klaster;
Skema Sertifikasi Klaster Radiografer Terampil Tingkat 1 ;;;;08/12/2020 8:10;skema-sertifikasi-klaster-radiografer-terampil-tingkat-1;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Radiografer Terampil Tingkat 1 ;Klaster;
Skema Sertifikasi Klaster Penjaminan Keamanan Produk Hewan ;;;;08/12/2020 8:11;skema-sertifikasi-klaster-penjaminan-keamanan-produk-hewan;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Penjaminan Keamanan Produk Hewan ;Klaster;64/PVT/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Klaster Pengendalian Penyakit Hewan;;;;08/12/2020 8:12;skema-sertifikasi-klaster-pengendalian-penyakit-hewan;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pengendalian Penyakit Hewan;Klaster;55/PVT/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Klaster Pemeriksaan Dan Pengujian Laboratorium;;;;08/12/2020 8:13;skema-sertifikasi-klaster-pemeriksaan-dan-pengujian-laboratorium;ioryone;publish;;;open;open;Care Service;;Care Service;Skema Sertifikasi Klaster Pemeriksaan Dan Pengujian Laboratorium;Klaster;63/PVT/14/5V/LSP.UNAIR/2020
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Food Production) Certificate V In Food Production ;;;;08/12/2020 8:14;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-boga-food-production-certificate-v-in-food-production;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Food Production) Certificate V In Food Production ;KKNI Level 5;FR.SKEMA-02.PAR-14
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Food Production) Certificate VI In Food Production ;;;;08/12/2020 8:15;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-boga-food-production-certificate-vi-in-food-production;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Food Production) Certificate VI In Food Production ;KKNI Level 6;FR.SKEMA-02.PAR-15
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Operasional Tur (Tour Operation) Certificate V In Tour Operation ;;;;08/12/2020 8:16;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-operasional-tur-tour-operation-certificate-v-in-tour-operation;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Operasional Tur (Tour Operation) Certificate V In Tour Operation ;KKNI Level 5;FR.SKEMA-02.PAR-16
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Operasional Tur (Tour Operation) Certificate VI In Tour Operation ;;;;08/12/2020 8:17;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-operasional-tur-tour-operation-certificate-vi-in-tour-operation;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Operasional Tur (Tour Operation) Certificate VI In Tour Operation ;KKNI Level 6;FR.SKEMA-02.PAR-17
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Hidang (Food And Baverage Service) Certificate V In Food And Baverage Service ;;;;08/12/2020 8:18;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-hidang-food-and-baverage-service-certificate-v-in-food-and-baverage-service;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Hidang (Food And Baverage Service) Certificate V In Food And Baverage Service ;KKNI Level 5;FR.SKEMA-02.PAR-12
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Hidang (Food And Baverage Service) Certificate Vi In Food And Baverage Service ;;;;08/12/2020 8:19;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-hidang-food-and-baverage-service-certificate-vi-in-food-and-baverage-service;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Hidang (Food And Baverage Service) Certificate Vi In Food And Baverage Service ;KKNI Level 6;FR.SKEMA-02.PAR-13
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Kantor Depan (Front Office) Certificate V In Front Office ;;;;08/12/2020 8:20;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-kantor-depan-front-office-certificate-v-in-front-office;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Kantor Depan (Front Office) Certificate V In Front Office ;KKNI Level 5;FR.SKEMA-02.PAR-10
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Kantor Depan (Front Office) Certificate VI In Front Office ;;;;08/12/2020 8:21;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-kantor-depan-front-office-certificate-vi-in-front-office;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Kantor Depan (Front Office) Certificate VI In Front Office ;KKNI Level 6;FR.SKEMA-02.PAR-11
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Housekeeping) Certificate V In Housekeeping;;;;08/12/2020 8:22;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-boga-housekeeping-certificate-v-in-housekeeping;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Housekeeping) Certificate V In Housekeeping;KKNI Level 5;FR.SKEMA-02.PAR-07
Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Housekeeping) Certificate VI In Housekeeping;;;;08/12/2020 8:23;skema-sertifikasi-kkni-pada-kompetensi-keahlian-bidang-tata-boga-housekeeping-certificate-vi-in-housekeeping;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Kkni Pada Kompetensi Keahlian Bidang Tata Boga (Housekeeping) Certificate VI In Housekeeping;KKNI Level 6;FR.SKEMA-02.PAR-08
Pemantauan Aspek Biofisik, Sosial, Budaya Dan Ekonomi, Di Wilayah Pesisir Dan Pulau-Pulau Kecil;;;;08/12/2020 8:24;pemantauan-aspek-biofisik-sosial-budaya-dan-ekonomi-di-wilayah-pesisir-dan-pulau-pulau-kecil;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Pemantauan Aspek Biofisik, Sosial, Budaya Dan Ekonomi, Di Wilayah Pesisir Dan Pulau-Pulau Kecil;Okupasi;FR-SKEMA-02.PAR-03
Kepemanduan Wisata;;;;08/12/2020 8:25;kepemanduan-wisata;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Kepemanduan Wisata;Okupasi;FR-SKEMA-02.PAR-02
Pemandu Wisata Selam;;;;08/12/2020 8:26;pemandu-wisata-selam;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Pemandu Wisata Selam;Okupasi;FR-SKEMA-02.PAR-09
Tour Leader;;;;08/12/2020 8:27;tour-leader;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Tour Leader;Okupasi;FR-SKEMA-02.PAR-18
Skema Sertifikasi Nasional Pada Kompetensi Klaster Certified Event Registration ;;;;08/12/2020 8:28;skema-sertifikasi-nasional-pada-kompetensi-klaster-certified-event-registration;ioryone;publish;;;open;open;Hospitalitas;;Hospitalitas;Skema Sertifikasi Nasional Pada Kompetensi Klaster Certified Event Registration ;Klaster;
